UPN,Bot_Y,Bot_X,Bot_Z
30306,365873.982426,2261441.73225,898.94352
44864,365847.433176,2261441.730834,898.888384
43670,365797.519418,2261441.659514,897.943266
13088,365771.011932,2261441.701791,897.255481
13087,365744.37125,2261441.6952845,896.340516
13100,365717.8176,2261441.724975,895.666398
13117,365691.165207,2261441.708412,895.022867
13132,0,0,0
13118,0,0,0
13146,0,0,0
13145,0,0,0
21906,0,0,0
12970,0,0,0
46534,0,0,0
41102,0,0,0
12969,0,0,0
13144,0,0,0
41109,0,0,0
39614,0,0,0
13143,0,0,0
41108,365797.480755,2261227.23699,893.611256
13142,0,0,0
41107,365770.95767,2261227.209318,892.425288
13141,0,0,0
39629,0,0,0
21870,365744.321,2261227.3220025,891.5441
13140,0,0,0
45278,0,0,0
21869,365717.7748695,2261227.2530465,890.83094
13139,0,0,0
27191,0,0,0
21868,365691.026098,2261227.251649,890.440506
13138,0,0,0
27204,0,0,0
21867,0,0,0
39633,0,0,0
21866,0,0,0
39613,0,0,0
21893,0,0,0
27190,0,0,0
44867,0,0,0
21894,0,0,0
27188,0,0,0
30272,0,0,0
47198,0,0,0
27187,0,0,0
30271,0,0,0
21895,0,0,0
27186,0,0,0
30270,0,0,0
21896,0,0,0
21924,0,0,0
30269,0,0,0
21923,0,0,0
30268,0,0,0
27185,0,0,0
21922,0,0,0
30267,0,0,0
27184,0,0,0
21921,0,0,0
30266,0,0,0
47600,0,0,0
21920,0,0,0
30265,0,0,0
27183,0,0,0
41106,0,0,0
47795,0,0,0
45263,0,0,0
27065,0,0,0
27064,0,0,0
27077,0,0,0
27063,0,0,0
27061,0,0,0
27060,0,0,0
27059,0,0,0
27058,0,0,0
47592,0,0,0
27057,0,0,0
27056,0,0,0
27055,0,0,0
27054,0,0,0
27053,365953.66125,2260876.29905,895.160458
27052,365927.155432,2260876.2596,894.487646
27051,365900.536742,2260876.281228,893.216494
27050,365874.039296,2260876.27385,892.1721
45264,365847.547052,2260876.278244,890.291575
44020,365797.52163,2260876.128068,887.466304
13028,365770.957292,2260876.083664,886.322497
13027,365744.275207,2260876.1940895,885.044224
13026,365717.740428,2260876.11339,883.919752
13025,365691.188324,2260876.185468,883.865301
13024,0,0,0
13023,0,0,0
13036,0,0,0
13053,0,0,0
46521,0,0,0
13068,0,0,0
13054,0,0,0
13082,0,0,0
13081,0,0,0
13080,0,0,0
13079,0,0,0
13078,0,0,0
39620,0,0,0
39619,0,0,0
45267,0,0,0
26969,0,0,0
26968,0,0,0
26967,0,0,0
26966,0,0,0
26965,0,0,0
26964,0,0,0
26963,0,0,0
26962,0,0,0
47594,0,0,0
26961,0,0,0
26960,0,0,0
26959,0,0,0
26958,0,0,0
26957,365953.81559,2260895.83529,895.203501
26956,365927.168206,2260895.907936,894.8379
26955,365900.64544,2260895.80466,893.65852
26954,365874.0767765,2260895.7783395,892.059609
45268,365847.525421,2260895.762058,890.597968
43767,365797.56535,2260895.68305,887.520339
13077,365770.9163715,2260895.6160455,886.346551
13076,365744.296222,2260895.660848,884.694746
13075,365717.713791,2260895.71807,884.00332
13074,365691.106222,2260895.717054,883.841134
13073,0,0,0
13072,0,0,0
13071,0,0,0
13070,0,0,0
46522,0,0,0
13083,0,0,0
13069,0,0,0
13067,0,0,0
13066,0,0,0
13065,0,0,0
13064,0,0,0
13063,0,0,0
39618,0,0,0
39617,0,0,0
45271,0,0,0
27000,0,0,0
27013,0,0,0
26999,0,0,0
26997,0,0,0
26996,0,0,0
26995,0,0,0
26994,0,0,0
26993,0,0,0
47596,0,0,0
26992,0,0,0
26991,0,0,0
26990,0,0,0
26989,0,0,0
26988,365953.79721,2260915.25937,895.019778
26987,365927.22637,2260915.270878,894.96102
26986,365900.63735,2260915.2940975,894.1446
26985,365874.160205,2260915.26575,892.601032
45272,365847.452867,2260915.3048205,891.001978
43659,365797.526286,2260915.184256,887.742192
13062,365770.9502915,2260915.1694905,886.71468
13061,365744.339818,2260915.18331,885.176777
13060,365717.746003,2260915.1642145,883.9598
13059,365691.1523815,2260915.163279,883.791481
13058,0,0,0
13057,0,0,0
13056,0,0,0
13055,0,0,0
46523,0,0,0
13022,0,0,0
13021,0,0,0
13020,0,0,0
13004,0,0,0
12986,0,0,0
12985,0,0,0
12984,0,0,0
39616,0,0,0
39615,0,0,0
45275,0,0,0
27159,0,0,0
27172,0,0,0
27158,0,0,0
27156,0,0,0
27155,0,0,0
27154,0,0,0
27153,0,0,0
27152,0,0,0
47598,0,0,0
27151,0,0,0
27150,0,0,0
27149,0,0,0
27148,0,0,0
27147,365953.8508755,2260934.818081,895.21678
27146,365927.258966,2260934.83475,894.94384
27145,365900.6921205,2260934.829186,894.266365
27144,365874.085854,2260934.77088,893.40028
45276,365847.539193,2260934.758798,891.986453
43660,365797.48746,2260934.703894,888.108732
12983,365770.899197,2260934.6500915,887.0228
12982,365744.306354,2260934.6547675,885.66147
12981,365717.751314,2260934.679195,884.549
12980,365691.163865,2260934.6447625,883.68972
12979,0,0,0
12978,0,0,0
12977,0,0,0
12976,0,0,0
46524,0,0,0
12975,0,0,0
12974,0,0,0
12973,0,0,0
12972,0,0,0
12971,0,0,0
41105,0,0,0
30264,0,0,0
27182,0,0,0
41089,365797.540701,2261246.7066,893.7998
30263,0,0,0
27181,0,0,0
41090,365770.951991,2261246.739056,892.7321
30262,0,0,0
27180,0,0,0
21884,365744.3484965,2261246.758186,891.8852
30289,0,0,0
27179,365953.759255,2260954.291835,895.071531
21883,365717.8179505,2261246.745133,891.35912
30290,365953.793468,2261461.2158765,898.766894
27178,365927.248212,2260954.25043,894.773172
21882,365691.16671,2261246.796524,891.0268
30291,365927.181785,2261461.205304,898.679885
27177,365900.6851545,2260954.2919985,894.03697
21881,0,0,0
27176,365874.05875,2260954.27657,893.37192
21880,0,0,0
45261,365847.4803375,2260954.4878,892.0418
30292,365900.5593975,2261461.207303,898.564425
21879,0,0,0
43661,365797.534552,2260954.197419,888.571422
30320,365874.037974,2261461.239484,898.656
21878,0,0,0
12968,365770.963007,2260954.186789,887.308495
44868,365847.4331575,2261461.264462,898.831076
47197,0,0,0
12967,365744.369304,2260954.190064,886.2286
43671,365797.559304,2261461.213254,897.819566
21877,0,0,0
12966,365717.767565,2260954.2205675,885.07534
13137,365770.9635715,2261461.314088,897.399987
21876,0,0,0
12965,365691.19295,2260954.10868,883.8474
13136,365744.344586,2261461.196736,896.502833
21875,0,0,0
12964,0,0,0
21874,0,0,0
12963,0,0,0
21873,0,0,0
13135,365717.753968,2261461.231838,895.645714
12962,0,0,0
21872,0,0,0
13134,365691.1062,2261461.21636,894.802063
12961,0,0,0
21871,0,0,0
13147,0,0,0
46525,0,0,0
41091,0,0,0
13133,0,0,0
12960,0,0,0
41092,0,0,0
13131,0,0,0
12987,0,0,0
2206,0,0,0
13130,0,0,0
12988,0,0,0
2205,0,0,0
12989,0,0,0
2204,0,0,0
12990,0,0,0
46519,0,0,0
2203,0,0,0
13018,0,0,0
13129,0,0,0
2202,0,0,0
13017,0,0,0
13128,0,0,0
2210,0,0,0
39630,0,0,0
13127,0,0,0
2221,0,0,0
39631,0,0,0
13126,0,0,0
2222,0,0,0
44653,0,0,0
13125,0,0,0
2223,0,0,0
21944,0,0,0
5884,0,0,0
21957,0,0,0
2242,0,0,0
13124,0,0,0
21943,0,0,0
2241,0,0,0
13123,0,0,0
21941,0,0,0
2240,0,0,0
39612,0,0,0
21940,0,0,0
2239,0,0,0
39611,0,0,0
21939,0,0,0
2238,365953.820642,2261266.227535,898.831772
44871,0,0,0
21938,0,0,0
2237,365927.23529,2261266.2426,898.625236
30303,0,0,0
21937,0,0,0
2236,365900.6513865,2261266.2330895,898.251532
2235,365874.086434,2261266.281216,898.072756
47193,0,0,0
2234,365847.4558495,2261266.2313505,897.021341
30302,0,0,0
21936,0,0,0
41077,365797.58057,2261266.211724,894.099732
30301,0,0,0
21935,0,0,0
41076,365771.052848,2261266.33955,893.116096
30300,0,0,0
21934,0,0,0
21962,365744.360548,2261266.215704,892.446618
30299,0,0,0
21933,0,0,0
21961,365717.79405,2261266.2363325,892.061814
30298,0,0,0
21932,365953.790908,2260973.795254,895.045936
21928,365691.1773925,2261266.227755,891.8179
30297,0,0,0
21931,365927.313986,2260973.801676,894.517932
21927,0,0,0
21930,365900.699494,2260973.779398,893.514487
21926,0,0,0
21929,365874.154791,2260973.788955,892.717387
30296,0,0,0
21910,0,0,0
44654,365847.4780835,2260973.864578,891.907625
47797,0,0,0
21892,0,0,0
43662,365797.539918,2260973.792632,889.150374
30295,0,0,0
13016,365771.0445835,2260973.725719,887.4296
47196,0,0,0
30294,0,0,0
13015,365744.3588765,2260973.714073,886.820958
21891,0,0,0
30293,0,0,0
13014,365717.818988,2260973.726611,885.836705
21890,0,0,0
30354,0,0,0
13013,365691.210305,2260973.747415,884.348684
21889,0,0,0
13012,0,0,0
21888,0,0,0
13011,0,0,0
30386,365953.793313,2261480.74055,898.733314
21887,0,0,0
13010,0,0,0
30387,365927.174334,2261480.6949115,898.413688
21886,0,0,0
13009,0,0,0
30388,365900.587832,2261480.712615,898.184313
21885,0,0,0
46526,0,0,0
30480,365874.0195975,2261480.7453775,898.254275
41075,0,0,0
13008,0,0,0
44872,365847.4224265,2261480.8084445,898.529031
41074,0,0,0
13007,0,0,0
43672,365797.52534,2261480.73034,897.5503
44760,0,0,0
13006,0,0,0
22367,0,0,0
13019,0,0,0
22366,0,0,0
13122,365770.8869355,2261480.7116785,897.129766
13005,0,0,0
22365,0,0,0
13121,365744.45785,2261480.765915,896.47746
13003,0,0,0
22364,0,0,0
13120,365717.812178,2261480.865552,895.58928
13002,0,0,0
22363,0,0,0
13119,365691.158963,2261480.7385555,894.828275
39632,0,0,0
22362,0,0,0
12959,0,0,0
39648,0,0,0
22361,0,0,0
12958,0,0,0
44655,0,0,0
22360,0,0,0
21942,0,0,0
47208,0,0,0
21959,0,0,0
12957,0,0,0
22359,0,0,0
21974,0,0,0
12830,0,0,0
22358,0,0,0
21960,0,0,0
46535,0,0,0
22371,0,0,0
21988,0,0,0
12796,0,0,0
22357,0,0,0
21987,0,0,0
12795,0,0,0
22355,365953.82521,2261285.780498,898.993572
21986,0,0,0
12794,0,0,0
22354,365927.211374,2261285.7572365,898.863334
21985,0,0,0
22353,365900.620234,2261285.745378,898.507752
47194,0,0,0
12793,0,0,0
40980,365874.007945,2261285.775155,898.1891
21984,0,0,0
12792,0,0,0
40979,365847.3745095,2261285.8108685,896.625366
21983,0,0,0
12791,0,0,0
41081,365797.577488,2261285.750217,894.450792
21982,0,0,0
12790,0,0,0
41080,365771.0359875,2261285.7551,893.653728
21981,0,0,0
39592,0,0,0
21976,365744.403812,2261285.780648,893.087382
21980,365953.818718,2260993.290112,894.500822
39590,0,0,0
21989,365717.808384,2261285.727524,892.777132
21979,365927.3507925,2260993.307773,894.078748
44875,0,0,0
21978,365900.694922,2260993.2599915,892.77963
30463,0,0,0
21977,365874.06836,2260993.28197,891.767008
21975,365691.213016,2261285.698218,892.438195
30462,0,0,0
44656,365847.506685,2260993.290395,891.316068
21973,0,0,0
30461,0,0,0
44669,365797.5656965,2260993.2901035,889.0571
21972,0,0,0
30460,0,0,0
22118,365770.985988,2260993.219168,887.400768
21971,0,0,0
30459,0,0,0
22117,365744.37405,2260993.212379,887.254932
21970,0,0,0
30458,0,0,0
21990,365717.8124025,2260993.215382,886.4035
47195,0,0,0
30457,0,0,0
21956,365691.2207805,2260993.207422,884.959288
30456,0,0,0
21955,0,0,0
47798,0,0,0
21969,0,0,0
21954,0,0,0
30455,0,0,0
21968,0,0,0
21953,0,0,0
30454,0,0,0
21967,0,0,0
21952,0,0,0
30453,0,0,0
21966,0,0,0
47192,0,0,0
30466,0,0,0
21965,0,0,0
21951,0,0,0
30483,365953.80161,2261500.298576,898.492902
21964,0,0,0
21950,0,0,0
30498,365927.215564,2261500.306436,898.06638
30484,365900.658836,2261500.296817,897.88669
21949,0,0,0
30512,365874.0562355,2261500.3028705,897.920212
21963,0,0,0
21948,0,0,0
44876,365847.4232035,2261500.2903725,897.933772
41079,0,0,0
21947,0,0,0
43673,365797.566825,2261500.252005,897.212905
41078,0,0,0
21946,0,0,0
12789,365770.9339915,2261500.356475,896.846987
45293,0,0,0
21945,0,0,0
12788,365744.302758,2261500.3810935,896.16948
29511,0,0,0
41083,0,0,0
12787,365717.732391,2261500.306973,895.35069
29510,0,0,0
41082,0,0,0
12786,365691.2133625,2261500.250627,894.68763
44757,0,0,0
12785,0,0,0
22334,0,0,0
29509,0,0,0
12784,0,0,0
22333,0,0,0
29508,0,0,0
12797,0,0,0
22332,0,0,0
29507,0,0,0
12783,0,0,0
22331,0,0,0
29506,0,0,0
46518,0,0,0
22330,0,0,0
29505,0,0,0
12781,0,0,0
22329,0,0,0
29504,0,0,0
12780,0,0,0
22328,0,0,0
12779,0,0,0
22327,0,0,0
12778,0,0,0
47675,0,0,0
47223,0,0,0
12777,0,0,0
29503,0,0,0
22326,0,0,0
12776,0,0,0
29502,0,0,0
22339,0,0,0
12775,0,0,0
29501,0,0,0
22325,0,0,0
39589,0,0,0
29500,0,0,0
22323,0,0,0
39588,0,0,0
29499,365953.834393,2261305.267059,899.007312
22322,365953.870935,2261012.781235,894.1093
44899,0,0,0
22321,365927.3293125,2261012.770525,893.721068
30495,0,0,0
22320,365900.721592,2261012.775036,892.474538
29526,365927.193665,2261305.239785,898.754349
30494,0,0,0
22319,365874.140875,2261012.808325,891.3294
29527,365900.5589,2261305.22475,898.516236
30493,0,0,0
44758,365847.55463,2261012.7756955,890.985024
29528,365874.007793,2261305.2350865,897.876192
30492,0,0,0
44707,365797.593674,2261012.708182,888.564842
45294,365847.4502055,2261305.2707335,896.7195
30491,0,0,0
22293,365770.949118,2261012.68059,887.726123
43663,365797.579809,2261305.25165,894.644405
30490,0,0,0
22291,365744.3286525,2261012.709702,887.785414
13001,365770.93913,2261305.2577,894.062869
30489,0,0,0
22290,365717.800969,2261012.7586485,887.185984
30488,0,0,0
22289,365691.250552,2261012.719536,885.829386
47779,0,0,0
13000,365744.4566045,2261305.304106,893.76174
22288,0,0,0
30487,0,0,0
12999,365717.764679,2261305.2300445,893.583894
22287,0,0,0
30486,0,0,0
12998,365691.213747,2261305.324732,893.269828
22286,0,0,0
30485,0,0,0
12997,0,0,0
22285,0,0,0
30452,0,0,0
12996,0,0,0
47191,0,0,0
30482,365953.789634,2261519.796004,898.308887
12995,0,0,0
22284,0,0,0
30451,365927.1783475,2261519.760715,897.740212
22283,0,0,0
30418,365900.5638075,2261519.7664175,897.581528
22282,0,0,0
12994,0,0,0
30416,365874.053098,2261519.764613,897.757127
22281,0,0,0
46527,0,0,0
44917,365847.470385,2261519.7936625,897.414603
22280,0,0,0
12993,0,0,0
43658,365797.5704575,2261519.8163195,896.413207
22279,0,0,0
12992,0,0,0
12774,365770.9265,2261519.786896,895.972126
22119,0,0,0
12991,0,0,0
12773,365744.3902725,2261519.8939705,895.305677
41085,0,0,0
13052,0,0,0
12772,365717.8041255,2261519.837518,894.61834
41084,0,0,0
44755,0,0,0
12771,365691.255108,2261519.7667345,894.143404
22158,0,0,0
13084,0,0,0
12770,0,0,0
22157,0,0,0
13085,0,0,0
12769,0,0,0
22156,0,0,0
13086,0,0,0
12782,0,0,0
22155,0,0,0
39647,0,0,0
12799,0,0,0
22154,0,0,0
39646,0,0,0
46516,0,0,0
22153,0,0,0
45091,0,0,0
12814,0,0,0
22152,0,0,0
12800,0,0,0
22151,0,0,0
12828,0,0,0
29542,0,0,0
47222,0,0,0
12827,0,0,0
29541,0,0,0
