UPN,Top_Y,Top_X,Top_Z
30306,365873.997559,2261441.747839,903.10699188
44864,365847.450314,2261441.724107,903.08783216
43670,365797.4937795,2261441.6255115,902.15226688
13088,365770.9936365,2261441.678159,901.5574608
13087,365744.383377,2261441.6682795,900.69893766
13100,365717.81354,2261441.6876175,899.90129106
13117,365691.134754,2261441.683613,899.28478156
13132,0,0,0
13118,0,0,0
13146,0,0,0
13145,0,0,0
21906,0,0,0
12970,0,0,0
46534,0,0,0
41102,0,0,0
12969,0,0,0
13144,0,0,0
41109,0,0,0
39614,0,0,0
13143,0,0,0
41108,365797.50913,2261227.224339,897.6568394
13142,0,0,0
41107,365770.945598,2261227.20755,896.61807368
13141,0,0,0
39629,0,0,0
21870,365744.310268,2261227.3067,895.52155929
13140,0,0,0
45278,0,0,0
21869,365717.778955,2261227.2634,895.0146048
13139,0,0,0
27191,0,0,0
21868,365690.94874,2261227.20995,894.55830607
13138,0,0,0
27204,0,0,0
21867,0,0,0
39633,0,0,0
21866,0,0,0
39613,0,0,0
21893,0,0,0
27190,0,0,0
44867,0,0,0
21894,0,0,0
27188,0,0,0
30272,0,0,0
47198,0,0,0
27187,0,0,0
30271,0,0,0
21895,0,0,0
27186,0,0,0
30270,0,0,0
21896,0,0,0
21924,0,0,0
30269,0,0,0
21923,0,0,0
30268,0,0,0
27185,0,0,0
21922,0,0,0
30267,0,0,0
27184,0,0,0
21921,0,0,0
30266,0,0,0
47600,0,0,0
21920,0,0,0
30265,0,0,0
27183,0,0,0
41106,0,0,0
47795,0,0,0
45263,0,0,0
27065,0,0,0
27064,0,0,0
27077,0,0,0
27063,0,0,0
27061,0,0,0
27060,0,0,0
27059,0,0,0
27058,0,0,0
47592,0,0,0
27057,0,0,0
27056,0,0,0
27055,0,0,0
27054,0,0,0
27053,365953.6903475,2260876.314915,899.22402
27052,365927.164184,2260876.256552,898.50426782
27051,365900.45909,2260876.231572,897.5023767
27050,365874.074991,2260876.277468,896.26418305
45264,365847.572295,2260876.281435,894.64081512
44020,365797.5590815,2260876.117381,891.65587188
13028,365770.9472875,2260876.0643125,890.83149032
13027,365744.2369005,2260876.184142,890.3662992
13026,365717.733189,2260876.0515935,889.95105493
13025,365691.190436,2260876.165542,889.7976558
13024,0,0,0
13023,0,0,0
13036,0,0,0
13053,0,0,0
46521,0,0,0
13068,0,0,0
13054,0,0,0
13082,0,0,0
13081,0,0,0
13080,0,0,0
13079,0,0,0
13078,0,0,0
39620,0,0,0
39619,0,0,0
45267,0,0,0
26969,0,0,0
26968,0,0,0
26967,0,0,0
26966,0,0,0
26965,0,0,0
26964,0,0,0
26963,0,0,0
26962,0,0,0
47594,0,0,0
26961,0,0,0
26960,0,0,0
26959,0,0,0
26958,0,0,0
26957,365953.7852,2260895.8635875,899.06107786
26956,365927.165646,2260895.9279,898.50586032
26955,365900.657944,2260895.803658,897.6114176
26954,365874.0949,2260895.779032,896.40768592
45268,365847.5569455,2260895.7632195,894.95799858
43767,365797.611612,2260895.690362,891.56610874
13077,365770.9377,2260895.6239,890.6939832
13076,365744.322835,2260895.61895,890.17407722
13075,365717.74026,2260895.72788,889.9131465
13074,365691.0979175,2260895.72177,889.91095074
13073,0,0,0
13072,0,0,0
13071,0,0,0
13070,0,0,0
46522,0,0,0
13083,0,0,0
13069,0,0,0
13067,0,0,0
13066,0,0,0
13065,0,0,0
13064,0,0,0
13063,0,0,0
39618,0,0,0
39617,0,0,0
45271,0,0,0
27000,0,0,0
27013,0,0,0
26999,0,0,0
26997,0,0,0
26996,0,0,0
26995,0,0,0
26994,0,0,0
26993,0,0,0
47596,0,0,0
26992,0,0,0
26991,0,0,0
26990,0,0,0
26989,0,0,0
26988,365953.8006365,2260915.2393605,899.15134871
26987,365927.2200325,2260915.287815,898.8220045
26986,365900.6164445,2260915.27593,898.02175505
26985,365874.2213565,2260915.3106125,897.07396285
45272,365847.397,2260915.3203,895.75955772
43659,365797.558639,2260915.2100585,891.87393943
13062,365770.962166,2260915.169282,890.9538216
13061,365744.3652655,2260915.1954495,890.28547503
13060,365717.758242,2260915.204692,889.96261507
13059,365691.072035,2260915.1498025,889.85088122
13058,0,0,0
